2023-10-15 12:23:28,531 - Файл: FileInfo(name='Хакеры ведут атаку на пентагон', extension='.mp4', is_directory=False, parent_directory='Загрузки')
2023-10-15 12:23:28,531 - Файл: FileInfo(name='ok', extension='.svg', is_directory=False, parent_directory='Загрузки')
2023-10-15 12:23:28,531 - Файл: FileInfo(name='партейку в гвинт', extension='.png', is_directory=False, parent_directory='Загрузки')
2023-10-15 12:23:28,531 - Каталог: FileInfo(name='скрины проекта', extension=None, is_directory=True, parent_directory='Загрузки')
2023-10-15 12:23:28,531 - Каталог: FileInfo(name='Telegram Desktop', extension=None, is_directory=True, parent_directory='Загрузки')
2023-10-15 12:23:28,531 - Файл: FileInfo(name='image_1', extension='.png', is_directory=False, parent_directory='скрины проекта')
2023-10-15 12:23:28,531 - Файл: FileInfo(name='image_4_1', extension='.png', is_directory=False, parent_directory='скрины проекта')
2023-10-15 12:23:28,531 - Файл: FileInfo(name='image_5_2', extension='.png', is_directory=False, parent_directory='скрины проекта')
2023-10-15 12:23:28,531 - Файл: FileInfo(name='image_4_2', extension='.png', is_directory=False, parent_directory='скрины проекта')
2023-10-15 12:23:28,531 - Файл: FileInfo(name='image_3_2', extension='.png', is_directory=False, parent_directory='скрины проекта')
2023-10-15 12:23:28,531 - Файл: FileInfo(name='image_2', extension='.png', is_directory=False, parent_directory='скрины проекта')
2023-10-15 12:23:28,531 - Файл: FileInfo(name='image_5_1', extension='.png', is_directory=False, parent_directory='скрины проекта')
2023-10-15 12:23:28,531 - Файл: FileInfo(name='image_3_1', extension='.png', is_directory=False, parent_directory='скрины проекта')
